iter	Accuracy	MultiClass
0	0.6295	1.043213485
1	0.651125	0.996149859
2	0.652875	0.9588517638
3	0.652625	0.9283469154
4	0.657375	0.9027018862
5	0.654625	0.8816497988
6	0.656125	0.8627617972
7	0.656375	0.8475497235
8	0.657	0.8340048675
9	0.657375	0.8223087273
10	0.657	0.8120537795
11	0.658125	0.8029399891
12	0.660125	0.7948243514
13	0.65975	0.7868650269
14	0.6575	0.7817445454
15	0.657875	0.7764057133
16	0.65725	0.773169173
17	0.658	0.7686998837
18	0.657875	0.7663141496
19	0.658125	0.7631362717
20	0.658125	0.7590056829
21	0.658875	0.7549549783
22	0.658625	0.7523648
23	0.659125	0.7504084296
24	0.65975	0.7476342323
25	0.66075	0.7451865856
26	0.660125	0.743286504
27	0.66025	0.741163002
28	0.66025	0.7392146747
29	0.66075	0.7377978601
30	0.66125	0.7363383763
31	0.661375	0.7346048513
32	0.660625	0.7341137455
33	0.661125	0.7332668667
34	0.66225	0.7316865681
35	0.662375	0.7301843864
36	0.66275	0.7291102015
37	0.66275	0.7281864966
38	0.663	0.7272762782
39	0.663625	0.7260882945
40	0.664375	0.724676678
41	0.66425	0.7245678484
42	0.664375	0.7237661397
43	0.664	0.7230995744
44	0.664	0.7223812076
45	0.664625	0.7214929145
46	0.66525	0.7208028154
47	0.665125	0.7204720543
48	0.665875	0.7197847712
49	0.6655	0.7187694235
50	0.665625	0.7179003061
51	0.6655	0.7175425051
52	0.66675	0.716811898
53	0.666375	0.7163807716
54	0.666875	0.7154462822
55	0.667	0.7144771878
56	0.669	0.7136624035
57	0.6695	0.713127278
58	0.669	0.7124728892
59	0.669875	0.7113273372
60	0.670625	0.7109278014
61	0.670625	0.7108585946
62	0.671	0.7102282833
63	0.6715	0.7096010678
64	0.671625	0.7087786166
65	0.672375	0.7081324221
66	0.672625	0.7077100133
67	0.67225	0.7074121308
68	0.673125	0.7069259455
69	0.673	0.7067014722
70	0.672875	0.7062916483
71	0.672625	0.7060218621
72	0.673	0.7056046286
73	0.67425	0.7050419902
74	0.67425	0.7050357171
75	0.674125	0.7048486268
76	0.674	0.7039743722
77	0.67475	0.7034060349
78	0.675125	0.7031321856
79	0.675875	0.7019357222
80	0.675875	0.701409941
81	0.677375	0.7006466795
82	0.6785	0.7000894537
83	0.678625	0.6991019544
84	0.678875	0.6987198284
85	0.67875	0.6984785373
86	0.678375	0.6978197985
87	0.678625	0.6972066505
88	0.679125	0.6965885583
89	0.67975	0.6960972114
90	0.6795	0.6957650264
91	0.68	0.6949385974
92	0.680625	0.6946484685
