iter	Passed	Remaining
0	106	52925
1	138	34550
2	156	26008
3	199	24697
4	227	22482
5	258	21268
6	276	19447
7	303	18694
8	332	18137
9	361	17709
10	408	18151
11	427	17389
12	447	16771
13	469	16315
14	497	16078
15	540	16357
16	550	15635
17	601	16098
18	612	15511
19	635	15245
20	668	15254
21	688	14957
22	709	14711
23	741	14704
24	770	14634
25	804	14672
26	826	14476
27	853	14383
28	889	14454
29	957	15005
30	993	15032
31	1029	15054
32	1065	15077
33	1098	15061
34	1160	15418
35	1222	15758
36	1249	15633
37	1301	15823
38	1356	16032
39	1432	16478
40	1496	16755
41	1503	16398
42	1536	16331
43	1596	16547
44	1621	16392
45	1654	16331
46	1685	16245
47	1721	16207
48	1765	16245
49	1789	16108
50	1862	16397
51	1882	16220
52	1904	16058
53	1938	16013
54	1963	15884
55	1990	15784
56	2026	15753
57	2052	15638
58	2070	15479
59	2092	15343
60	2110	15187
61	2157	15242
62	2174	15084
63	2205	15027
64	2241	14999
65	2264	14892
66	2288	14790
67	2311	14682
68	2329	14552
69	2353	14454
70	2367	14304
71	2383	14166
72	2402	14051
73	2430	13990
74	2442	13841
75	2464	13749
76	2499	13731
77	2544	13766
78	2601	13866
79	2660	13970
80	2708	14012
81	2772	14134
82	2801	14075
83	2851	14120
84	2900	14162
85	2959	14245
86	3019	14334
87	3061	14335
88	3102	14326
89	3132	14270
90	3170	14251
91	3245	14394
92	3288	14390
93	3336	14410
94	3366	14352
95	3397	14299
96	3435	14275
97	3458	14187
98	3502	14186
99	3550	14200
100	3598	14215
101	3677	14348
102	3729	14374
103	3777	14382
104	3824	14387
105	3849	14309
106	3881	14255
107	3912	14201
108	3931	14102
109	3952	14014
110	3969	13911
111	3985	13808
112	4003	13709
113	4022	13620
114	4039	13522
115	4063	13452
116	4094	13401
117	4122	13345
118	4148	13282
119	4166	13193
120	4179	13090
121	4191	12986
122	4204	12888
123	4218	12790
124	4228	12684
125	4241	12591
126	4259	12511
127	4275	12425
128	4293	12349
129	4308	12263
130	4324	12182
131	4339	12098
132	4357	12024
133	4368	11932
134	4380	11842
135	4392	11755
136	4407	11677
137	4425	11609
138	4450	11558
139	4469	11491
140	4485	11419
141	4501	11348
142	4515	11272
143	4529	11197
144	4544	11126
145	4559	11056
146	4583	11006
147	4599	10939
148	4616	10875
149	4636	10818
150	4650	10748
151	4663	10677
152	4679	10613
153	4701	10563
154	4719	10505
155	4740	10453
156	4758	10396
157	4779	10344
158	4800	10294
159	4818	10239
160	4831	10173
161	4847	10113
162	4868	10065
163	4893	10026
164	4912	9973
165	4931	9922
166	4948	9868
167	4976	9833
168	4992	9779
169	5028	9760
170	5060	9735
171	5090	9707
172	5113	9665
173	5132	9615
174	5144	9554
175	5166	9510
176	5180	9454
177	5196	9399
178	5209	9342
179	5225	9289
180	5247	9248
181	5265	9199
182	5282	9150
183	5303	9107
184	5346	9103
185	5367	9061
186	5382	9008
187	5394	8953
188	5406	8896
189	5424	8850
190	5439	8799
191	5459	8757
192	5485	8725
193	5516	8701
194	5546	8674
195	5572	8643
196	5591	8600
197	5617	8568
198	5640	8531
199	5660	8491
200	5682	8453
201	5716	8433
202	5737	8393
203	5762	8361
204	5781	8319
205	5814	8298
206	5847	8276
207	5863	8231
208	5887	8198
209	5901	8149
210	5918	8105
211	5933	8060
212	5951	8018
213	5968	7976
214	5987	7936
215	6005	7896
216	6030	7864
217	6049	7825
218	6076	7796
219	6098	7761
220	6119	7725
221	6145	7696
222	6178	7675
223	6214	7657
224	6252	7641
225	6286	7621
226	6309	7588
227	6333	7556
228	6374	7543
229	6393	7505
230	6412	7467
231	6435	7434
232	6449	7390
233	6462	7346
234	6479	7306
235	6495	7266
236	6518	7233
237	6550	7211
238	6569	7174
239	6596	7145
240	6615	7109
241	6645	7085
242	6665	7049
243	6686	7015
244	6711	6984
245	6739	6958
246	6764	6929
247	6782	6891
248	6807	6862
249	6835	6835
250	6860	6805
251	6881	6771
252	6899	6735
253	6919	6701
254	6933	6661
255	6954	6628
256	6981	6601
257	7004	6570
258	7024	6536
259	7046	6504
260	7075	6478
261	7104	6453
262	7136	6431
263	7158	6399
264	7182	6369
265	7204	6337
266	7223	6303
267	7236	6264
268	7253	6229
269	7269	6192
270	7282	6153
271	7303	6122
272	7322	6089
273	7343	6056
274	7359	6021
275	7374	5985
276	7392	5951
277	7411	5918
278	7433	5888
279	7447	5851
280	7474	5825
281	7497	5795
282	7517	5763
283	7536	5732
284	7562	5704
285	7581	5672
286	7598	5639
287	7613	5604
288	7632	5572
289	7647	5537
290	7664	5504
291	7685	5474
292	7701	5441
293	7722	5411
294	7741	5379
295	7762	5349
296	7775	5314
297	7795	5284
298	7813	5252
299	7829	5219
300	7850	5190
301	7870	5160
302	7904	5138
303	7933	5114
304	7954	5085
305	7973	5055
306	7996	5026
307	8019	4999
308	8035	4966
309	8047	4932
310	8060	4898
311	8077	4867
312	8092	4834
313	8107	4802
314	8120	4769
315	8136	4737
316	8150	4705
317	8166	4673
318	8178	4640
319	8198	4611
320	8217	4582
321	8236	4552
322	8260	4526
323	8288	4502
324	8308	4473
325	8331	4447
326	8349	4417
327	8359	4383
328	8376	4353
329	8387	4320
330	8399	4288
331	8418	4259
332	8430	4228
333	8448	4198
334	8465	4169
335	8480	4139
336	8493	4107
337	8504	4076
338	8519	4046
339	8534	4016
340	8550	3986
341	8563	3956
342	8582	3928
343	8602	3901
344	8620	3873
345	8641	3846
346	8656	3816
347	8673	3788
348	8688	3759
349	8701	3729
350	8713	3699
351	8734	3672
352	8750	3643
353	8771	3617
354	8782	3587
355	8798	3559
356	8810	3529
357	8823	3499
358	8839	3471
359	8850	3441
360	8867	3414
361	8881	3385
362	8896	3357
363	8912	3330
364	8927	3301
365	8942	3274
366	8956	3245
367	8968	3217
368	8981	3188
369	8992	3159
370	9006	3131
371	9020	3103
372	9041	3078
373	9052	3049
374	9069	3023
375	9082	2995
376	9097	2968
377	9110	2940
378	9125	2913
379	9137	2885
380	9151	2858
381	9165	2831
382	9181	2804
383	9191	2776
384	9210	2751
385	9226	2724
386	9243	2698
387	9258	2672
388	9272	2645
389	9291	2620
390	9308	2594
391	9319	2567
392	9334	2541
393	9348	2515
394	9363	2488
395	9378	2462
396	9395	2437
397	9412	2412
398	9430	2387
399	9445	2361
400	9463	2336
401	9476	2310
402	9496	2285
403	9513	2260
404	9532	2236
405	9551	2211
406	9572	2187
407	9587	2161
408	9609	2138
409	9636	2115
410	9658	2091
411	9670	2065
412	9688	2040
413	9707	2016
414	9721	1991
415	9741	1967
416	9759	1942
417	9774	1917
418	9787	1892
419	9801	1867
420	9821	1843
421	9835	1817
422	9852	1793
423	9869	1769
424	9885	1744
425	9903	1720
426	9921	1696
427	9935	1671
428	9960	1648
429	9983	1625
430	10004	1601
431	10024	1578
432	10041	1553
433	10054	1529
434	10077	1505
435	10097	1482
436	10116	1458
437	10130	1433
438	10144	1409
439	10156	1384
440	10178	1361
441	10195	1337
442	10209	1313
443	10230	1290
444	10246	1266
445	10262	1242
446	10274	1218
447	10289	1194
448	10303	1170
449	10322	1146
450	10340	1123
451	10358	1099
452	10373	1076
453	10393	1053
454	10411	1029
455	10429	1006
456	10447	983
457	10470	960
458	10487	936
459	10503	913
460	10527	890
461	10552	867
462	10572	844
463	10590	821
464	10599	797
465	10612	774
466	10624	750
467	10636	727
468	10646	703
469	10660	680
470	10672	657
471	10685	633
472	10700	610
473	10709	587
474	10720	564
475	10730	541
476	10741	517
477	10748	494
478	10761	471
479	10773	448
480	10790	426
481	10802	403
482	10813	380
483	10824	357
484	10837	335
485	10851	312
486	10861	289
487	10872	267
488	10884	244
489	10900	222
490	10914	200
491	10927	177
492	10940	155
493	10951	133
494	10962	110
495	10977	88
496	10991	66
497	11005	44
498	11023	22
499	11037	0
